"The Hon Tony Abbott MP";"Tony.Abbott.MP@aph.gov.au";"TonyAbbottMHR";"http://www.tonyabbott.com.au";
"The Hon Dick Adams MP";"";"";"http://www.dickadams.com.au/";
"The Hon Anthony Albanese MP";"A.Albanese.MP@aph.gov.au";"AlboMP";"http://www.anthonyalbanese.com.au";
"Mr John Alexander OAM, MP";"";"JohnAlexanderMP";"http://www.johnalexander.net.au/";
"Mrs Karen Andrews MP";"karenandrews@karenandrewsmp.com";"karenandrewsmp";"http://karenandrewsmp.com";
"The Hon Kevin Andrews MP";"Kevin.Andrews.MP@aph.gov.au";"kevinandrewsmp";"http://www.kevinandrews.com.au";
"The Hon Bob Baldwin MP";"Bob.Baldwin.MP@aph.gov.au";"bobbaldwinmp";"http://www.bobbaldwin.com.au/";
"Mr Adam Bandt MP";"adam.bandt.mp@aph.gov.au";"adambandt";"http://adam-bandt.greensmps.org.au/";
"The Hon Bruce Billson MP";"B.Billson.MP@aph.gov.au";"BruceBillsonMP";"http://www.billson4dunkley.com/";
"The Hon Sharon Bird MP";"Sharon.Bird.MP@aph.gov.au";"SharonBirdMP";"http://www.sharonbird.com.au/";
"The Hon Bronwyn Bishop MP";"Bronwyn.Bishop.MP@aph.gov.au";"";"";
"The Hon Julie Bishop MP";"Julie.Bishop.MP@aph.gov.au";"JulieBishopMP";"http://www.juliebishop.com.au/";
"The Hon Chris Bowen MP";"Chris.Bowen.MP@aph.gov.au";"Bowenchris";"http://www.chrisbowen.net";
"The Hon David Bradbury MP";"";"davidbradburymp";"http://www.davidbradbury.com.au/";
"Mr Jamie Briggs MP";"";"BriggsJamie";"http://www.jamiebriggs.com.au";
"Mr Russell Broadbent MP";"Russell.Broadbent.MP@aph.gov.au";"";"http://www.russellbroadbent.com.au";
"Ms Gai Brodtmann MP";"gai.brodtmann.mp@aph.gov.au";"";"http://www.gaibrodtmann.com.au";
"Mr Scott Buchholz MP";"";"ScottBuchholzMP";"http://www.scottbuchholz.com.au/";
"Ms Anna Burke MP";"Anna.Burke.MP@aph.gov.au";"";"http://www.annaburke.com";
"The Hon Tony Burke MP";"Tony.Burke.MP@aph.gov.au";"tony_burke";"http://www.tonyburke.com.au/";
"The Hon Mark Butler MP";"";"Mark_Butler_MP";"http://markbutler.alp.org.au/";
"The Hon Anthony Byrne MP";"Anthony.Byrne.MP@aph.gov.au";"AnthonyByrne_MP";"http://www.anthonybyrnemp.com/";
"Mr Nick Champion MP";"";"NickChampionMP";"";
"Mr Darren Cheeseman MP";"";"";"http://darrencheeseman.org.au/index.php";
"Mr Darren Chester MP";"";"";"http://www.darrenchester.com.au/";
"Mr George Christensen MP";"";"GChristensenMP";"";
"Mr Steven Ciobo MP";"";"steveciobo";"http://www.stevenciobo.com/";
"The Hon Jason Clare MP";"";"JasonClareMP";"http://www.jasonclare.com.au";
"The Hon John Cobb MP";"John.Cobb.MP@aph.gov.au";"";"http://www.johncobb.com.au/";
"The Hon Julie Collins MP";"";"";"";
"The Hon Greg Combet AM, MP";"";"";"http://www.gregcombet.com.au/";
"Mr Mark Coulton MP";"Mark.Coulton.MP@aph.gov.au";"";"http://www.markcoulton.com.au";
"The Hon Simon Crean MP";"S.Crean.MP@aph.gov.au";"SimonCrean_MP";"http://www.simoncrean.net/";
"Mr Tony Crook MP";"";"";"http://www.tonycrook.com.au/";
"Mr Michael Danby MP";"Michael.Danby.MP@aph.gov.au";"";"http://www.danbymp.com/";
"Mrs Yvette D'Ath MP";"";"";"";
"The Hon Mark Dreyfus QC, MP";"";"";"http://www.markdreyfus.com";
"The Hon Peter Dutton MP";"Peter.Dutton.MP@aph.gov.au";"peter_dutton";"HTTP://www.peterdutton.com.au";
"The Hon Justine Elliot MP";"Justine.Elliot.MP@aph.gov.au";"";"";
"The Hon Kate Ellis MP";"Kate.Ellis.MP@aph.gov.au";"KateEllisMP";"http://www.kateellis.com.au/index.cfm";
"The Hon Dr Craig Emerson MP";"";"";"http://www.craigemersonmp.com/";
"The Hon Warren Entsch MP";"";"";"";
"Mr Laurie Ferguson MP";"";"";"http://www.laurieferguson.com.au";
"The Hon Martin Ferguson AM, MP";"Martin.Ferguson.MP@aph.gov.au";"";"http://www.martinferguson.com.au";
"The Hon Joel Fitzgibbon MP";"J.Fitzgibbon.MP@aph.gov.au";"fitzhunter";"http://www.joelfitzgibbon.com/";
"Mr Paul Fletcher MP";"Paul.Fletcher.MP@aph.gov.au";"";"http://www.paulfletcher.com.au/";
"Mr John Forrest MP";"J.Forrest.MP@aph.gov.au";"";"http://www.jforrest.com/";
"Mr Josh Frydenberg MP";"";"JoshFrydenberg";"http://www.joshfrydenberg.com.au/";
"The Hon Teresa Gambaro MP";"";"TeresaGambaroMP";"http://www.teresagambaro.com/";
"The Hon Peter Garrett AM, MP";"";"PGarrettMP";"http://www.petergarrett.com.au/";
"Mrs Joanna Gash MP";"Joanna.Gash.MP@aph.gov.au";"JoGash";"http://www.joannagash.com.au/";
"Mr Steve Georganas MP";"Steve.Georganas.MP@aph.gov.au";"stevegeorganas";"http://stevegeorganas.alp.org.au/";
"Mr Steve Gibbons MP";"Steve.Gibbons.MP@aph.gov.au";"SteveGibbonsMP";"http://www.stevegibbonsmp.com";
"The Hon Julia Gillard MP";"";"JuliaGillard";"http://www.pm.gov.au/";
"The Hon Gary Gray AO, MP";"Gary.Gray.MP@aph.gov.au";"";"http://www.garygray.com.au/";
"Ms Sharon Grierson MP";"";"";"http://www.sharongrierson.com";
"The Hon Alan Griffin MP";"Alan.Griffin.MP@aph.gov.au";"";"http://www.griffinmp.com/";
"Mrs Natasha Griggs MP";"";"natashagriggsmp";"http://www.natashagriggs.com.au/";
"Mr Barry Haase MP";"Barry.Haase.MP@aph.gov.au";"";"";
"Ms Jill Hall MP";"Jill.Hall.MP@aph.gov.au";"JillHallMP";"http://www.jillhall.com/";
"Mr Luke Hartsuyker MP";"Luke.Hartsuyker.MP@aph.gov.au";"";"http://www.lukehartsuyker.com.au/";
"Mr Alex Hawke MP";"";"alexhawkemp";"http://www.alexhawke.com.au/";
"Mr Chris Hayes MP";"Chris.Hayes.MP@aph.gov.au";"";"http://www.chrishayesmp.com/";
"The Hon Joe Hockey MP";"J.Hockey.MP@aph.gov.au";"JoeHockey";"http://www.joehockey.com";
"The Hon Greg Hunt MP";"Greg.Hunt.MP@aph.gov.au";"greghuntmp";"http://www.greghunt.com.au/";
"Mr Ed Husic MP";"";"edhusicmp";"http://www.edhusic.com/";
"Mr Steve Irons MP";"";"SteveIronsMP";"http://www.steveirons.com.au/";
"Mr Harry Jenkins MP";"Harry.Jenkins.MP@aph.gov.au";"";"Http://www.harryjenkins.com";
"Dr Dennis Jensen MP";"Dennis.Jensen.MP@aph.gov.au";"DennisJensenMP";"http://www.dennisjensen.com.au/";
"Mr Ewen Jones MP";"";"EwenJonesMP";"http://www.ewenjones.com.au/";
"Mr Stephen Jones MP";"";"stephenjonesalp";"http://www.stephenjones.org.au/";
"The Hon Bob Katter MP";"Bob.Katter.MP@aph.gov.au";"RealBobKatter";"http://www.bobkatter.com.au/";
"Mr Michael Keenan MP";"";"michaelkeenanmp";"http://www.keenan.net.au";
"Mr Craig Kelly MP";"";"CraigKellyMP";"http://craigkelly.com.au/";
"The Hon Dr Mike Kelly AM, MP";"";"MikeKellyMP";"http://www.mikekelly.alp.org.au/";
"The Hon Catherine King MP";"Catherine.King.MP@aph.gov.au";"CatherineKingMP";"http://www.catherineking.com.au/";
"Mr Andrew Laming MP";"";"AndrewLamingMP";"http://www.andrewlaming.com.au/";
"Dr Andrew Leigh MP";"andrew.leigh.mp@aph.gov.au";"";"http://www.andrewleigh.com/";
"The Hon Sussan Ley MP";"Sussan.Ley.MP@aph.gov.au";"sussanley";"http://www.sussanley.com/";
"Ms Kirsten Livermore MP";"Kirsten.Livermore.MP@aph.gov.au";"";"http://kirstenlivermoremp.com/";
"Mr Geoff Lyons MP";"";"";"";
"The Hon Ian Macfarlane MP";"Ian.Macfarlane.MP@aph.gov.au";"";"http://www.ianmacfarlanemp.com/";
"The Hon Jenny Macklin MP";"";"";"http://www.jennymacklin.net.au";
"Ms Nola Marino MP";"Nola.Marino.MP@aph.gov.au";"";"http://www.nolamarino.com.au/view/";
"Mrs Louise Markus MP";"";"";"http://www.louisemarkus.com.au";
"The Hon Richard Marles MP";"";"";"http://www.richardmarles.com.au/";
"Mr Russell Matheson MP";"russell.matheson.mp@aph.gov.au";"russellmatheson";"http://www.russellmatheson.com.au/";
"The Hon Robert McClelland MP";"R.McClelland.MP@aph.gov.au";"";"http://www.robertmcclelland.alp.org.au/";
"Mr Michael McCormack MP";"";"";"http://www.michaelmccormack.com.au/";
"Mr Daryl Melham MP";"D.Melham.MP@aph.gov.au";"";"http://darylmelhammp.com/";
"Mrs Sophie Mirabella MP";"Sophie.Mirabella.MP@aph.gov.au";"SMirabellaMP";"http://www.sophiemirabella.com.au/";
"Mr Rob Mitchell MP";"";"RobMitchellMP";"http://www.robmitchell.com.au/";
